"CharacterSet","Total IDs","ID Size","Algorithm","Uncompressed","Compressed","Compressed&Encoded"
"Numbers","10000","3","LZ4","30000","30133","40476"
"Numbers","10000","4","LZ4","40000","40172","53974"
"Numbers","10000","5","LZ4","50000","50212","67512"
"Alphanumeric","10000","2","LZ4","20000","20094","26998"
"Alphanumeric","10000","3","LZ4","30000","30133","40494"
"Alphanumeric","10000","4","LZ4","40000","40172","53978"
"Alphanumeric","10000","5","LZ4","50000","50212","67474"
"AlphanumericSpecial","10000","2","LZ4","20000","20094","26998"
"AlphanumericSpecial","10000","3","LZ4","30000","30133","40492"
"AlphanumericSpecial","10000","4","LZ4","40000","40172","53980"
"AlphanumericSpecial","10000","5","LZ4","50000","50212","67476"
"AlphanumericAllSpecial","10000","2","LZ4","20000","20094","27192"
"AlphanumericAllSpecial","10000","3","LZ4","30000","30133","40738"
"AlphanumericAllSpecial","10000","4","LZ4","40000","40172","54336"
"AlphanumericAllSpecial","10000","5","LZ4","50000","50212","67906"
"Numbers","10000","2","GZip","20000","10095","14292"
"Numbers","10000","3","GZip","30000","15005","21228"
"Numbers","10000","4","GZip","40000","19935","28172"
"Numbers","10000","5","GZip","50000","24671","34956"
"Alphanumeric","10000","2","GZip","20000","15066","21304"
"Alphanumeric","10000","3","GZip","30000","22570","31880"
"Alphanumeric","10000","4","GZip","40000","30106","42590"
"Alphanumeric","10000","5","GZip","50000","37607","53238"
"AlphanumericSpecial","10000","2","GZip","20000","15179","21608"
"AlphanumericSpecial","10000","3","GZip","30000","22735","32278"
"AlphanumericSpecial","10000","4","GZip","40000","30325","43142"
"AlphanumericSpecial","10000","5","GZip","50000","37888","53954"
"AlphanumericAllSpecial","10000","2","GZip","20000","15837","22878"
"AlphanumericAllSpecial","10000","3","GZip","30000","23708","34124"
"AlphanumericAllSpecial","10000","4","GZip","40000","31614","45598"
"AlphanumericAllSpecial","10000","5","GZip","50000","39509","56898"
"Numbers","50000","2","Zip","100000","48195","68318"
"Numbers","50000","3","Zip","150000","50000","70762"
"Numbers","50000","4","Zip","200000","50000","70696"
"Numbers","50000","5","Zip","250000","50000","70938"
"Alphanumeric","50000","2","Zip","100000","50000","70732"
"Alphanumeric","50000","3","Zip","150000","50000","70786"
"Alphanumeric","50000","4","Zip","200000","50000","70724"
"Alphanumeric","50000","5","Zip","250000","50000","70744"
"AlphanumericSpecial","50000","2","Zip","100000","50000","71192"
"AlphanumericSpecial","50000","3","Zip","150000","50000","71038"
"AlphanumericSpecial","50000","4","Zip","200000","50000","71016"
"AlphanumericSpecial","50000","5","Zip","250000","50000","71080"
"AlphanumericAllSpecial","50000","2","Zip","100000","50000","72098"
"AlphanumericAllSpecial","50000","3","Zip","150000","50000","72108"
"AlphanumericAllSpecial","50000","4","Zip","200000","50000","72082"
"AlphanumericAllSpecial","50000","5","Zip","250000","50000","72066"
"Numbers","50000","2","LZ4","100000","100408","134838"
"Numbers","50000","3","LZ4","150000","150604","202328"
"Numbers","50000","4","LZ4","200000","200800","269768"
"Numbers","50000","5","LZ4","250000","250996","337262"
"Alphanumeric","50000","2","LZ4","100000","100408","134928"
"Alphanumeric","50000","3","LZ4","150000","150604","202374"
"Alphanumeric","50000","4","LZ4","200000","200800","269828"
"Alphanumeric","50000","5","LZ4","250000","250996","337280"
"AlphanumericSpecial","50000","2","LZ4","100000","100408","134912"
"AlphanumericSpecial","50000","3","LZ4","150000","150604","202378"
"AlphanumericSpecial","50000","4","LZ4","200000","200800","269828"
"AlphanumericSpecial","50000","5","LZ4","250000","250996","337280"
"AlphanumericAllSpecial","50000","2","LZ4","100000","100408","135880"
"AlphanumericAllSpecial","50000","3","LZ4","150000","150604","203714"
"AlphanumericAllSpecial","50000","4","LZ4","200000","200800","271524"
"AlphanumericAllSpecial","50000","5","LZ4","250000","250996","339412"
"Numbers","50000","2","GZip","100000","48207","68450"
"Numbers","50000","3","GZip","150000","71725","101408"
"Numbers","50000","4","GZip","200000","95181","134598"
"Numbers","50000","5","GZip","250000","118521","167486"
"Alphanumeric","50000","2","GZip","100000","75210","106524"
"Alphanumeric","50000","3","GZip","150000","112822","159442"
"Alphanumeric","50000","4","GZip","200000","150425","212912"
"Alphanumeric","50000","5","GZip","250000","188017","266184"
"AlphanumericSpecial","50000","2","GZip","100000","75763","107706"
"AlphanumericSpecial","50000","3","GZip","150000","113641","161352"
"AlphanumericSpecial","50000","4","GZip","200000","151508","215446"
"AlphanumericSpecial","50000","5","GZip","250000","189387","269068"
"AlphanumericAllSpecial","50000","2","GZip","100000","78964","114040"
"AlphanumericAllSpecial","50000","3","GZip","150000","118452","171166"
"AlphanumericAllSpecial","50000","4","GZip","200000","157930","227844"
"AlphanumericAllSpecial","50000","5","GZip","250000","197426","285072"
